district_id,district_name,school_id,school_name,address,city,state,zip,county,full_address,lon,lat
2180,Portland SD 1J,828,Atkinson Elem,5800 SE Division St,Portland,OR,97206,Multnomah,"5800 SE Division St Portland, OR 97206",-122.6049256,45.5050873
2142,Salem-Keizer SD 24J,728,Auburn Elem,4612 Auburn Rd NE,Salem,OR,97301,Marion,"4612 Auburn Rd NE Salem, OR 97301",-122.9710936,44.9353325
2139,Cascade SD 5,719,Aumsville Elem,572 N 11th St,Aumsville,OR,97325,Marion,"572 N 11th St Aumsville, OR 97325",-122.876368,44.8487437
2082,Eugene SD 4J,504,Awbrey Park Elem,158 Spring Creek Dr,Eugene,OR,97404,Lane,"158 Spring Creek Dr Eugene, OR 97404",-123.1379013,44.12270160000001
1974,Brookings-Harbor SD 17C,235,Azalea Middle,505 Pacific Ave,Brookings,OR,97415,Curry,"505 Pacific Ave Brookings, OR 97415",-124.2813065,42.0560487
1894,Baker SD 5J,4759,Baker Early College,3000 Broadway St,Baker City,OR,97814,Baker,"3000 Broadway St Baker City, OR 97814",-117.8435244,44.7784858
1894,Baker SD 5J,4759,Baker Early College,3000 Broadway St,Baker City,OR,97814,Baker,"3000 Broadway St Baker City, OR 97814",-117.8435244,44.7784858
1894,Baker SD 5J,5509,Baker Early Learning Center,2725 7th St,Baker City,OR,97814,Baker,"2725 7th St Baker City, OR 97814",-117.838253,44.7840706
1894,Baker SD 5J,8,Baker High,2500 E St,Baker City,OR,97814,Baker,"2500 E St Baker City, OR 97814",-117.8374556,44.7871969
1894,Baker SD 5J,8,Baker High,2500 E St,Baker City,OR,97814,Baker,"2500 E St Baker City, OR 97814",-117.8374556,44.7871969
1894,Baker SD 5J,1,Baker Middle School,2320 Washington Ave,Baker City,OR,97814,Baker,"2320 Washington Ave Baker City, OR 97814",-117.8349326,44.7775759
1929,Canby SD 86,4434,Baker Prairie Middle,1859 SE Township Rd,Canby,OR,97013,Clackamas,"1859 SE Township Rd Canby, OR 97013",-122.6704171,45.2577041
1894,Baker SD 5J,5604,Baker Virtual Academy,2090 4th St,Baker City,OR,97814,Baker,"2090 4th St Baker City, OR 97814",-117.8340365,44.7778301
1894,Baker SD 5J,4728,Baker Web Academy,3000 Broadway St,Baker City,OR,97814,Baker,"3000 Broadway St Baker City, OR 97814",-117.8435244,44.7784858
1894,Baker SD 5J,4728,Baker Web Academy,3000 Broadway St,Baker City,OR,97814,Baker,"3000 Broadway St Baker City, OR 97814",-117.8435244,44.7784858
1969,Bandon SD 54,218,Bandon Sr High,550 9th St SW,Bandon,OR,97411,Coos,"550 9th St SW Bandon, OR 97411",-124.4204381,43.1156354
2240,Banks SD 13,1120,Banks Elem,42350 NW Trellis Way,Banks,OR,97106,Washington,"42350 NW Trellis Way Banks, OR 97106",-123.1134877,45.6115824
2240,Banks SD 13,1124,Banks High,13050 NW Main St,Banks,OR,97106,Washington,"13050 NW Main St Banks, OR 97106",-123.1131003,45.6152757
2240,Banks SD 13,1123,Banks Middle School,12850 NW Main St,Banks,OR,97106,Washington,"12850 NW Main St Banks, OR 97106",-123.1137885,45.6140378
1970,Crook County SD,5302,Barnes Butte Elem,1875 NE Ironhorse Dr,Prineville,OR,97754,Crook,"1875 NE Ironhorse Dr Prineville, OR 97754",-120.8245059,44.3082871
2243,Beaverton SD 48J,1154,Barnes Elem,13730 SW Walker Rd,Beaverton,OR,97005,Washington,"13730 SW Walker Rd Beaverton, OR 97005",-122.8184151,45.5062355
2142,Salem-Keizer SD 24J,5066,Battle Creek Elem,1640 Waln Dr SE,Salem,OR,97306,Marion,"1640 Waln Dr SE Salem, OR 97306",-123.026265,44.8639643
2180,Portland SD 1J,830,Beach Elem,1710 N Humboldt St,Portland,OR,97217,Multnomah,"1710 N Humboldt St Portland, OR 97217",-122.685501,45.5579142
1976,Bend-LaPine Administrative SD 1,241,Bear Creek Elem,51 SE 13th St,Bend,OR,97702,Deschutes,"51 SE 13th St Bend, OR 97702",-121.2859259,44.0508056
1924,North Clackamas SD 12,5451,Beatrice Morrow Cannady Elementary,18031 SE Vogel Rd,Damascus,OR,97089,Clackamas,"18031 SE Vogel Rd Damascus, OR 97089",-122.4776992,45.43076019999999
2180,Portland SD 1J,831,Beaumont Middle,4043 NE Fremont St,Portland,OR,97212,Multnomah,"4043 NE Fremont St Portland, OR 97212",-122.6217722,45.5489184
2243,Beaverton SD 48J,1155,Beaver Acres Elem,2125 SW 170th Ave,Beaverton,OR,97003,Washington,"2125 SW 170th Ave Beaverton, OR 97003",-122.8536504,45.504328
1928,Oregon City SD 62,105,Beavercreek Elem,21944 S Yeoman Rd,Beavercreek,OR,97004,Clackamas,"21944 S Yeoman Rd Beavercreek, OR 97004",-122.5158735,45.2888121
