school_year,district_id,district_name,school_id,school_short,student_group,ct,pct
2019,2180,Portland SD 1J,841,César Chávez,hispanic,286,52
2019,2180,Portland SD 1J,841,César Chávez,black,87,15.8
2019,2180,Portland SD 1J,841,César Chávez,multi,37,6.7
2019,2180,Portland SD 1J,839,Chapman,all,484,100
2019,2180,Portland SD 1J,839,Chapman,combined_underserved,206,42.6
2019,2180,Portland SD 1J,839,Chapman,direct_cert,103,21.3
2019,2180,Portland SD 1J,839,Chapman,lep,33,6.8
2019,2180,Portland SD 1J,839,Chapman,swd,45,9.3
2019,2180,Portland SD 1J,839,Chapman,historically_underserved,97,20
2019,2180,Portland SD 1J,839,Chapman,hispanic,50,10.3
2019,2180,Portland SD 1J,839,Chapman,black,12,2.5
2019,2180,Portland SD 1J,839,Chapman,multi,32,6.6
2019,2180,Portland SD 1J,840,Chief Joseph,all,358,100
2019,2180,Portland SD 1J,840,Chief Joseph,combined_underserved,171,47.8
2019,2180,Portland SD 1J,840,Chief Joseph,direct_cert,82,22.9
2019,2180,Portland SD 1J,840,Chief Joseph,lep,21,5.9
2019,2180,Portland SD 1J,840,Chief Joseph,swd,48,13.4
2019,2180,Portland SD 1J,840,Chief Joseph,historically_underserved,123,34.4
2019,2180,Portland SD 1J,840,Chief Joseph,hispanic,40,11.2
2019,2180,Portland SD 1J,840,Chief Joseph,black,32,8.9
2019,2180,Portland SD 1J,840,Chief Joseph,multi,40,11.2
2019,2180,Portland SD 1J,4640,Creative Science,all,466,100
2019,2180,Portland SD 1J,4640,Creative Science,combined_underserved,174,37.3
2019,2180,Portland SD 1J,4640,Creative Science,direct_cert,64,13.7
2019,2180,Portland SD 1J,4640,Creative Science,lep,15,3.2
2019,2180,Portland SD 1J,4640,Creative Science,swd,85,18.2
2019,2180,Portland SD 1J,4640,Creative Science,historically_underserved,65,13.9
2019,2180,Portland SD 1J,4640,Creative Science,hispanic,30,6.4
2019,2180,Portland SD 1J,4640,Creative Science,black,9,1.9
2019,2180,Portland SD 1J,4640,Creative Science,multi,20,4.3
2019,2180,Portland SD 1J,843,Creston,all,361,100
2019,2180,Portland SD 1J,843,Creston,combined_underserved,191,52.9
2019,2180,Portland SD 1J,843,Creston,direct_cert,96,26.6
2019,2180,Portland SD 1J,843,Creston,lep,31,8.6
2019,2180,Portland SD 1J,843,Creston,swd,84,23.3
2019,2180,Portland SD 1J,843,Creston,historically_underserved,102,28.3
2019,2180,Portland SD 1J,843,Creston,hispanic,61,16.9
2019,2180,Portland SD 1J,843,Creston,black,13,3.6
2019,2180,Portland SD 1J,843,Creston,multi,22,6.1
2019,2180,Portland SD 1J,844,Duniway,all,504,100
2019,2180,Portland SD 1J,844,Duniway,combined_underserved,143,28.4
2019,2180,Portland SD 1J,844,Duniway,direct_cert,33,6.5
2019,2180,Portland SD 1J,844,Duniway,lep,12,2.4
2019,2180,Portland SD 1J,844,Duniway,swd,71,14.1
2019,2180,Portland SD 1J,844,Duniway,historically_underserved,50,9.9
2019,2180,Portland SD 1J,844,Duniway,hispanic,32,6.3
2019,2180,Portland SD 1J,844,Duniway,black,2,0.4
2019,2180,Portland SD 1J,844,Duniway,multi,16,3.2
2019,2180,Portland SD 1J,847,Faubion,all,767,100
2019,2180,Portland SD 1J,847,Faubion,combined_underserved,629,82
2019,2180,Portland SD 1J,847,Faubion,direct_cert,320,41.7
2019,2180,Portland SD 1J,847,Faubion,lep,79,10.3
2019,2180,Portland SD 1J,847,Faubion,swd,123,16
2019,2180,Portland SD 1J,847,Faubion,historically_underserved,533,69.5
2019,2180,Portland SD 1J,847,Faubion,hispanic,209,27.2
2019,2180,Portland SD 1J,847,Faubion,black,218,28.4
2019,2180,Portland SD 1J,847,Faubion,multi,84,11
2019,2180,Portland SD 1J,2413,Forest Park,all,418,100
2019,2180,Portland SD 1J,2413,Forest Park,combined_underserved,84,20.1
2019,2180,Portland SD 1J,2413,Forest Park,direct_cert,4,1
2019,2180,Portland SD 1J,2413,Forest Park,lep,13,3.1
2019,2180,Portland SD 1J,2413,Forest Park,swd,34,8.1
2019,2180,Portland SD 1J,2413,Forest Park,historically_underserved,37,8.9
2019,2180,Portland SD 1J,2413,Forest Park,hispanic,15,3.6
2019,2180,Portland SD 1J,2413,Forest Park,black,13,3.1
2019,2180,Portland SD 1J,2413,Forest Park,multi,9,2.2
2019,2180,Portland SD 1J,850,Glencoe,all,451,100
2019,2180,Portland SD 1J,850,Glencoe,combined_underserved,161,35.7
2019,2180,Portland SD 1J,850,Glencoe,direct_cert,37,8.2
2019,2180,Portland SD 1J,850,Glencoe,lep,10,2.2
2019,2180,Portland SD 1J,850,Glencoe,swd,62,13.7
2019,2180,Portland SD 1J,850,Glencoe,historically_underserved,94,20.8
2019,2180,Portland SD 1J,850,Glencoe,hispanic,51,11.3
2019,2180,Portland SD 1J,850,Glencoe,black,10,2.2
2019,2180,Portland SD 1J,850,Glencoe,multi,33,7.3
2019,2180,Portland SD 1J,854,Grout,all,382,100
2019,2180,Portland SD 1J,854,Grout,combined_underserved,232,60.7
2019,2180,Portland SD 1J,854,Grout,direct_cert,153,40.1
2019,2180,Portland SD 1J,854,Grout,lep,50,13.1
2019,2180,Portland SD 1J,854,Grout,swd,76,19.9
2019,2180,Portland SD 1J,854,Grout,historically_underserved,115,30.1
2019,2180,Portland SD 1J,854,Grout,hispanic,40,10.5
2019,2180,Portland SD 1J,854,Grout,black,39,10.2
2019,2180,Portland SD 1J,854,Grout,multi,28,7.3
2019,2180,Portland SD 1J,842,Harrison Park,all,658,100
2019,2180,Portland SD 1J,842,Harrison Park,combined_underserved,524,79.6
2019,2180,Portland SD 1J,842,Harrison Park,direct_cert,309,47
