district_id,district_name,school_id,school_name,school_year,min_grade,max_grade,all_grades,grades_served,school_level
1900,Philomath SD 17J,5492,Philomath Academy,2023,2,12,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",2-12,Other
1900,Philomath SD 17J,5492,Philomath Academy,2024,1,12,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12",1-12,K-12
1900,Philomath SD 17J,5492,Philomath Academy,2025,3,12,"3, 6, 7, 8, 9, 10, 11, 12",3-12,Other
1900,Philomath SD 17J,5492,Philomath Academy,2026,8,12,"8, 9, 10, 11, 12",8-12,Other
1901,Corvallis SD 509J,1322,Franklin School,2019,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1901,Corvallis SD 509J,1322,Franklin School,2022,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1901,Corvallis SD 509J,1322,Franklin School,2023,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1901,Corvallis SD 509J,1322,Franklin School,2024,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1901,Corvallis SD 509J,1322,Franklin School,2025,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1901,Corvallis SD 509J,1322,Franklin School,2026,K,8,"k, 1, 2, 3, 4, 5, 6, 7, 8",K-8,ES/MS
1901,Corvallis SD 509J,1874,YES House Alternative School,2019,9,12,"9, 10, 11, 12",9-12,HS
1901,Corvallis SD 509J,27,Adams Elementary School,2019,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,27,Adams Elementary School,2022,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,27,Adams Elementary School,2023,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,27,Adams Elementary School,2024,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,27,Adams Elementary School,2025,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,27,Adams Elementary School,2026,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,28,Cheldelin Middle School,2019,6,8,"6, 7, 8",6-8,MS
1901,Corvallis SD 509J,28,Cheldelin Middle School,2022,6,8,"6, 7, 8",6-8,MS
1901,Corvallis SD 509J,28,Cheldelin Middle School,2023,6,8,"6, 7, 8",6-8,MS
1901,Corvallis SD 509J,28,Cheldelin Middle School,2024,6,8,"6, 7, 8",6-8,MS
1901,Corvallis SD 509J,28,Cheldelin Middle School,2025,6,8,"6, 7, 8",6-8,MS
1901,Corvallis SD 509J,28,Cheldelin Middle School,2026,6,8,"6, 7, 8",6-8,MS
1901,Corvallis SD 509J,30,Garfield Elementary School,2019,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,30,Garfield Elementary School,2022,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,30,Garfield Elementary School,2023,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,30,Garfield Elementary School,2024,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,30,Garfield Elementary School,2025,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,30,Garfield Elementary School,2026,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,33,Bessie Coleman Elementary School,2022,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,33,Bessie Coleman Elementary School,2023,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,33,Bessie Coleman Elementary School,2024,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,33,Bessie Coleman Elementary School,2025,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,33,Bessie Coleman Elementary School,2026,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,33,Hoover Elementary School,2019,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,35,Jefferson Elementary School,2019,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,35,Kathryn Jones Harrison Elementary School,2022,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,35,Kathryn Jones Harrison Elementary School,2023,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,35,Kathryn Jones Harrison Elementary School,2024,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,35,Kathryn Jones Harrison Elementary School,2025,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,35,Kathryn Jones Harrison Elementary School,2026,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,36,Lincoln Elementary School,2019,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,36,Lincoln Elementary School,2022,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,36,Lincoln Elementary School,2023,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,36,Lincoln Elementary School,2024,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,36,Lincoln Elementary School,2025,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,36,Lincoln Elementary School,2026,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,37,Mt View Elementary School,2019,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,37,Mt View Elementary School,2022,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,37,Mt View Elementary School,2023,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,37,Mt View Elementary School,2024,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,37,Mt View Elementary School,2025,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,37,Mt View Elementary School,2026,K,5,"k, 1, 2, 3, 4, 5",K-5,ES
1901,Corvallis SD 509J,38,Linus Pauling Middle School,2019,6,8,"6, 7, 8",6-8,MS
1901,Corvallis SD 509J,38,Linus Pauling Middle School,2022,6,8,"6, 7, 8",6-8,MS
