school_yr,location,district_id,district_name,school_id,school_name,school_type,grade_band,virtual_status,governance,adm,total_expenditures,per_pupil_exp,fed_per_pupil_exp,state_local_per_pupil_exp,direct_classroom_expenditures,classroom_support,building_support,central_support,other_expenditures,esd_direct_support,school_expenditures,district_expenditures,general_fund,special_state_and_local_revenue_funds,special_federal_revenue_funds,special_revenue_funds,trust_and_agency_funds,internal_service_funds,enterprise_funds,esd_general_fund,esd_special_revenue_funds,esd_internal,source_file,school_year
19-20,Corvallis SD 509J-Cheldelin Middle School,1901,Corvallis SD 509J,28,Cheldelin Middle School,Regular,Junior High/Middle School,Not Virtual,Public,612.72456310679604,8240461.0792517904,13448.883193891899,0,13448.883193891899,4327346.5304476703,1795489.97206056,1691375.5212067501,257817.623038672,168431.43249812,228371.10756458301,3992651.26,4019438.71168721,7200288.1920266096,0,0,718872.97165695298,32827.362135473799,60101.445868174203,0,227436.05092120299,935.05664338006795,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Garfield Elementary School,1901,Corvallis SD 509J,30,Garfield Elementary School,Regular,Elementary,Not Virtual,Public,442.1,6432500.1337855002,14549.875896370701,0,14549.875896370701,3658035.94592334,1272763.6893004901,1200281.4457390101,186023.505516834,115395.547305805,164776.92055035901,3367572.05,2900151.1632351298,5418546.9782365002,0,0,782125.18385405303,23685.9719259589,43365.079218618797,0,164102.24783944001,674.67271091966302,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Bessie Coleman Elementary School,1901,Corvallis SD 509J,33,Bessie Coleman Elementary School,Regular,Elementary,Not Virtual,Public,380.91,5251839.8232588395,13787.6134080461,0,13787.6134080461,2905180.2563493801,1039090.88722178,1047868.31458775,160276.43855783201,99423.926542081594,141970.54242668499,2611121.08,2498748.2008321499,4655840.7982758796,0,0,396257.80648416001,20407.653395876499,37363.022676236404,0,141389.24954652999,581.29288015473605,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Kathryn Jones Harrison Elementary School,1901,Corvallis SD 509J,35,Kathryn Jones Harrison Elementary School,Regular,Elementary,Not Virtual,Public,329.43,4850346.1215165202,14723.4499636236,0,14723.4499636236,2801900.7330552498,919148.58913857304,904694.94777019403,138615.072206312,85986.779346191906,122783.218586077,2566520.61,2161042.2929304498,4321011.2978252703,0,0,356588.63795168698,17649.5583161471,32313.408837343599,0,122280.487459278,502.73112679996501,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Lincoln Elementary School,1901,Corvallis SD 509J,36,Lincoln Elementary School,Regular,Elementary,Not Virtual,Public,368.97,5458965.2672253698,14795.1466710718,0,14795.1466710718,3082853.6186273098,1118610.488354,1005941.35947505,155252.41535975199,96307.385409235401,137520.33561516899,2901022.46,2420422.4716102001,4718884.9901760304,0,0,546600.14423711796,19767.955352908899,36191.841844138798,0,136957.26393421899,563.07168095007398,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Mt View Elementary School,1901,Corvallis SD 509J,37,Mt View Elementary School,Regular,Elementary,Not Virtual,Public,290.86,4537692.9740281599,15600.9522589154,0,15600.9522589154,2600935.6981105199,933417.286975216,805034.75097816996,122385.878341159,75919.359623086406,108407.634271155,2521260.08,1908025.259757,3964676.2323050601,0,0,420495.85539151699,15583.13004837,28530.1220120504,0,107963.763416827,443.870854327286,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Linus Pauling Middle School,1901,Corvallis SD 509J,38,Linus Pauling Middle School,Regular,Junior High/Middle School,Not Virtual,Public,779.34,10732489.203963701,13771.254143202899,0,13771.254143202899,5527881.0040296298,2550681.5922294701,2122580.9288383601,327924.81065254402,203420.86821376599,290471.036556701,5329591.55,5112426.6174070798,9386594.0967284292,0,0,937225.54953182105,41753.9591965094,76444.561950324394,0,289281.71416238201,1189.32239431832,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Letitia Carson Elementary School,1901,Corvallis SD 509J,39,Letitia Carson Elementary School,Regular,Elementary,Not Virtual,Public,413.53,5966534.3858896503,14428.2987591943,0,14428.2987591943,3364926.2874460099,1189598.74190078,1127798.344234,176272.71627318801,107938.296035669,154128.47761861599,3099672.34,2712733.56827104,5097479.4971550396,0,0,652208.42609040195,22155.304163179699,40562.680862419002,0,153497.404544319,631.07307429678394,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Corvallis High School,1901,Corvallis SD 509J,40,Corvallis High School,Regular,High School,Supplemental Virtual,Public,1179.1400000000001,17212110.9760729,14597.173343345899,0,14597.173343345899,8533851.4725959208,4642916.2232797798,3231418.2362132901,496149.64102040301,307775.40296350798,439482.14905621199,9037536.6699999999,7735092.1570166899,14479266.340189001,0,0,2114528.3396966001,63173.664186326998,115660.48294467801,0,437682.70644061803,1799.4426155933299,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Crescent Valley High School,1901,Corvallis SD 509J,41,Crescent Valley High School,Regular,High School,Supplemental Virtual,Public,899.5,13671105.3143475,15198.560660753201,0,15198.560660753201,6832131.2017417997,3725946.5849893601,2486558.04556716,378484.82970457501,247984.65234465399,335256.36741698399,7435179.4800000004,5900669.4669305701,11675607.2292642,0,0,1523819.1424467701,48191.657424564597,88230.917794950597,0,333883.67322229402,1372.6941946895199,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Franklin School,1901,Corvallis SD 509J,1322,Franklin School,Regular,Elementary,Not Virtual,Public,315.39,4436519.2737686196,14066.7721670586,0,14066.7721670586,2444346.0739750299,907430.160570423,869713.50954722206,132707.42683771599,82322.102838221894,117550.312084094,2250028.2799999998,2068940.6816845201,3928722.2967932802,0,0,342413.07289737603,16897.350567130001,30936.2414267364,0,117069.006890027,481.30519406684499,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Corvallis SD 509J,1901,Corvallis SD 509J,1901,Corvallis SD 509J,District,District,NA,Public,85.135436893203803,590214.86419210199,6932.6579592524304,0,6932.6579592524304,191129.11088565699,115047.557794772,225993.76495299599,35822.6473978309,22221.7831608462,31731.181001971501,0,558483.68319013098,462210.54093500198,0,0,83361.084952839898,4561.2204663123102,8350.8368359771794,0,31601.258911937501,129.922090034082,0,2019-20 School Level Spending Report.xlsx,2020
19-20,Corvallis SD 509J-Inavale Community Partners dba Muddy Creek Charter School,1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School,Charter,Elementary,Not Virtual,Public,120.2,833305.48670214205,6932.6579592524304,0,6932.6579592524304,269849.07773803698,162431.96665894499,319073.367549941,50576.849950516902,31374.224804699799,44800.239425815998,0,788505.24727632594,652580.27735360304,0,0,117694.84925414401,6439.8412700752297,11790.2793985025,0,44616.806582901401,183.43284291459699,0,2019-20 School Level Spending Report.xlsx,2020
19-20,NA-Clackamas ESD,1902,Clackamas ESD,1902,Clackamas ESD,ESD,ESD,NA,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20 School Level Spending Report.xlsx,2020
19-20,West Linn-Wilsonville SD 3J-Cedaroak Park Primary School,1922,West Linn-Wilsonville SD 3J,45,Cedaroak Park Primary School,Regular,Elementary,Not Virtual,Public,275.07,4337994.4698666502,15770.511033070299,0,15770.511033070299,2858745.0260043601,704130.30413663795,581139.41898250196,105306.984803135,88672.735940014201,93213.793754829807,3331668.82,913111.85611182905,4071056.5318689002,0,0,173724.144242921,0,0,0,88163.259133461295,5050.5346213684898,0,2019-20 School Level Spending Report.xlsx,2020
19-20,West Linn-Wilsonville SD 3J-Inza R Wood Middle School,1922,West Linn-Wilsonville SD 3J,46,Inza R Wood Middle School,Regular,Junior High/Middle School,Not Virtual,Public,528.77,7102549.07887844,13432.208859955001,0,13432.208859955001,4497786.9723180598,1154013.2603283899,1077859.5564608199,202432.74204513,170456.547726038,179185.871682631,5168078.53,1755284.67719581,6553607.0793631496,0,0,369756.127832659,0,0,0,169477.17501726901,9708.6966653616091,0,2019-20 School Level Spending Report.xlsx,2020
19-20,West Linn-Wilsonville SD 3J-Stafford Primary School,1922,West Linn-Wilsonville SD 3J,47,Stafford Primary School,Regular,Elementary,Not Virtual,Public,436.34,5558824.5938659897,12739.6630926937,0,12739.6630926937,3684797.8431459102,795513.65063976694,770805.56618324504,167047.11436725201,140660.41952981299,147863.84108402301,3962503.17,1448457.58278196,5167963.1724258503,0,0,242997.58035611399,0,0,0,139852.24303011701,8011.5980539060201,0,2019-20 School Level Spending Report.xlsx,2020
19-20,West Linn-Wilsonville SD 3J-Sunset Primary School,1922,West Linn-Wilsonville SD 3J,48,Sunset Primary School,Regular,Elementary,Not Virtual,Public,395.81,5320233.48297932,13441.382185844999,0,13441.382185844999,3437197.3947292999,854876.64267503796,749033.72024199006,151530.72910506101,127594.996227931,134129.318741044,3872188.42,1313915.74423827,4930607.5094260797,0,0,255496.65481219601,0,0,0,126861.888237958,7267.4305030859896,0,2019-20 School Level Spending Report.xlsx,2020
19-20,West Linn-Wilsonville SD 3J-West Linn High School,1922,West Linn-Wilsonville SD 3J,51,West Linn High School,Regular,High School,Not Virtual,Public,1859.64,23266989.300016802,12511.555623678099,0,12511.555623678099,12619810.5277193,5796578.7463934897,3493310.2361039701,711939.07448759698,645350.71531242202,630181.76979762095,16463617.68,6173189.8502192199,19810752.994300298,0,0,2821054.5359188798,5000,0,0,596037.09315792297,34144.6766396979,0,2019-20 School Level Spending Report.xlsx,2020
19-20,West Linn-Wilsonville SD 3J-Boeckman Creek Primary School,1922,West Linn-Wilsonville SD 3J,1272,Boeckman Creek Primary School,Regular,Elementary,Not Virtual,Public,539.44000000000005,7262713.9377844501,13463.432333131501,0,13463.432333131501,5062092.3663423704,848522.81379455503,971684.97003824904,206517.613270089,173896.174339191,182801.64650127399,5289207.8899999997,1790704.4012831801,6671473.3267603302,0,0,408438.96452285402,0,0,0,172897.038960826,9904.6075404479598,0,2019-20 School Level Spending Report.xlsx,2020
19-20,West Linn-Wilsonville SD 3J-Willamette Primary School,1922,West Linn-Wilsonville SD 3J,1286,Willamette Primary School,Regular,Elementary,Not Virtual,Public,476.06,6258280.5025957804,13145.9910570007,0,13145.9910570007,4170763.2272270299,906662.561265453,845136.58469266095,182253.40162642501,153464.72778421099,161323.87630393801,4516646.05,1580310.5762918401,5843208.3067572303,0,0,253748.31953461,0,0,0,152582.983033684,8740.8932702537004,0,2019-20 School Level Spending Report.xlsx,2020
19-20,West Linn-Wilsonville SD 3J-Athey Creek Middle School,1922,West Linn-Wilsonville SD 3J,1287,Athey Creek Middle School,Regular,Junior High/Middle School,Not Virtual,Public,683.18,8281599.4804133596,12122.133962372,0,12122.133962372,5184076.7939763097,1259464.81196011,1356278.4524487001,261546.60950960201,220232.812518627,231511.250290561,5782230.0199999996,2267858.2101228,7398037.7492223801,0,0,652050.48090042197,0,0,0,218967.44601300801,12543.804277552999,0,2019-20 School Level Spending Report.xlsx,2020
19-20,West Linn-Wilsonville SD 3J-Wilsonville High School,1922,West Linn-Wilsonville SD 3J,1323,Wilsonville High School,Regular,High School,Not Virtual,Public,1190.48,17988173.144960701,15110.017089712301,0,15110.017089712301,9314991.7411301807,4999116.5943017602,2805297.4695742498,455759.84028951498,413007.49966506002,403421.51884701999,13632879.73,3951871.8961137501,14539483.752276501,0,0,3039267.8738372498,6000,0,0,381563.22657215601,21858.292274863699,0,2019-20 School Level Spending Report.xlsx,2020
